src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.140.35.74,34.158.0.131,63818,4070,d0:88:0c:73:88:a2,00:00:5e:00:01:17,6,2023-02-17 15:23:06,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,4095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
52.114.74.216,10.140.35.74,443,65023,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:22:32,34194852.82897949,3.2753467476567737,0.05848833477958524,0.05848833477958524,0.0,2,0,112,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,56.0,2047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,2,0,112,0
10.140.35.74,239.255.255.250,60574,1900,d0:88:0c:73:88:a2,01:00:5e:7f:ff:fa,17,2023-02-17 15:23:05,3003209.8293304443,282.3645526589991,1.3319082672594298,1.3319082672594298,0.0,4,0,848,0,212.0,212.0,212.0,0.0,0.0,0.0,0.0,0.0,212,212,212.0,0.0,0.0,32,0,8,4,1001069.9431101481,1001215.934753418,1000795.841217041,193.95673385481888,3003209.8293304443,1001215.934753418,1000795.841217041,1001069.9431101481,193.95673385481888,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,212.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0,4,0,848,0
10.140.35.74,239.255.255.250,64056,1900,d0:88:0c:73:88:a2,01:00:5e:7f:ff:fa,17,2023-02-17 15:23:05,3013706.922531128,289.34465839419835,1.3272690752027447,1.3272690752027447,0.0,4,0,872,0,218.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,218,218,218.0,0.0,0.0,32,0,8,4,1004568.9741770426,1007951.021194458,1000135.8985900879,3275.925428620662,3013706.922531128,1007951.021194458,1000135.8985900879,1004568.9741770426,3275.925428620662,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,218.0,0,0,0.0,0.0,0.0,0.0,1005620.002746582,7815.122604370117,506717.5626754761,498902.44007110596,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0,4,0,872,0
216.58.214.10,10.140.35.74,443,64768,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:22:07,101751082.18193054,21.473973083580855,0.24569763253525007,0.24569763253525007,0.0,25,0,2185,0,140.0,56.0,87.4,34.589015597440756,0.0,0.0,0.0,0.0,140,56,87.4,34.589015597440756,1196.4,500,0,20,25,4239628.424247106,20663246.154785156,0.0,8228524.877211844,101751082.18193054,20663246.154785156,0.0,4239628.424247106,8228524.877211844,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,87.4,1044,0,0.0,0.0,0.0,0.0,20663246.154785156,245934.96322631836,10454590.559005737,10208655.595779419,319.0,10.0,0.0,0.0,1197.6678085533188,0.0,87.4,0.0,0,25,0,2185,0
10.140.35.74,216.58.214.10,64768,443,d0:88:0c:73:88:a2,00:00:5e:00:01:17,6,2023-02-17 15:22:07,101751057.86323547,31.48861611155459,0.19655815300595875,0.19655815300595875,0.0,20,0,3204,0,1290.0,54.0,160.2,281.71805053989704,0.0,0.0,0.0,0.0,1290,54,160.2,281.71805053989704,79365.05999999998,400,0,20,12,5355318.83490713,20677695.03593445,38.86222839355469,8926045.164499676,101751057.86323547,20677695.03593445,38.86222839355469,5355318.83490713,8926045.164499676,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,160.2,4096,0,0.0,0.0,0.0,0.0,20677695.03593445,259626.8653869629,10468660.950660706,10209034.085273743,1832.0,4.0,0.0,0.0,12691.643079769092,0.0,160.2,0.0,0,20,0,3204,0
142.251.36.42,10.140.35.74,443,64766,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:22:21,90011975.04997253,34.92868585823747,0.2555215568509739,0.2555215568509739,0.0,23,0,3144,0,347.0,56.0,136.69565217391303,100.8021888921279,0.0,0.0,0.0,0.0,347,56,136.69565217391303,100.8021888921279,10161.081285444234,460,0,20,23,4091453.4113623877,30042848.825454712,0.0,9238520.322314158,90011975.04997253,30042848.825454712,0.0,4091453.4113623877,9238520.322314158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,136.69565217391303,625,0,0.0,0.0,0.0,0.0,15156229.734420776,14967692.852020264,15066359.519958496,77220.77527730532,760.0,7.0,0.0,0.0,11406.76224573231,0.0,136.69565217391303,0.0,0,23,0,3144,0
10.140.35.74,142.251.36.42,64766,443,d0:88:0c:73:88:a2,00:00:5e:00:01:17,6,2023-02-17 15:22:21,90012059.9269867,15.820102341342682,0.17775395889149082,0.17775395889149082,0.0,16,0,1424,0,295.0,54.0,89.0,55.79090427659333,0.0,0.0,0.0,0.0,295,54,89.0,55.79090427659333,3112.625,320,0,20,10,6000803.995132446,30042974.948883057,30.040740966796875,10669751.54335811,90012059.9269867,30042974.948883057,30.040740966796875,6000803.995132446,10669751.54335811,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,89.0,4096,0,0.0,0.0,0.0,0.0,15157059.907913208,14983522.891998291,15066678.285598755,71030.21779136774,350.0,4.0,0.0,0.0,41752.17292377702,0.0,89.0,0.0,0,16,0,1424,0
52.113.205.125,10.140.35.74,443,65026,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:22:35,36320399.045944214,3.083666560445092,0.05506547429366236,0.05506547429366236,0.0,2,0,112,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,56.0,16386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,2,0,112,0
52.113.194.132,10.140.35.74,443,65025,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:22:40,33490814.208984375,3.344200570971919,0.059717867338784265,0.059717867338784265,0.0,2,0,112,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,56.0,16386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,2,0,112,0
10.140.35.74,142.250.27.188,64874,5228,d0:88:0c:73:88:a2,00:00:5e:00:01:17,6,2023-02-17 15:23:14,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.0,4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
142.250.27.188,10.140.35.74,5228,64874,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:23:14,0.0,0,0,0,0,1,0,56,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,56.0,265,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,1,0,56,0
52.113.195.132,10.140.35.74,443,65027,e0:28:61:42:87:94,d0:88:0c:73:88:a2,6,2023-02-17 15:22:40,35102480.8883667,3.1906576733474665,0.05697602988120476,0.05697602988120476,0.0,2,0,112,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,56.0,16382,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,2,0,112,0
10.140.35.74,10.194.17.1,24715,53,d0:88:0c:73:88:a2,00:00:5e:00:01:17,17,2023-02-17 15:23:20,0.0,0,0,0,0,1,0,85,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,1,0,85,0
10.140.35.74,10.194.17.1,39608,53,d0:88:0c:73:88:a2,00:00:5e:00:01:17,17,2023-02-17 15:23:20,0.0,0,0,0,0,1,0,85,0,85.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,85,85,85.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0,1,0,85,0
10.194.17.1,10.140.35.74,53,39608,e0:28:61:42:87:94,d0:88:0c:73:88:a2,17,2023-02-17 15:23:20,0.0,0,0,0,0,1,0,167,0,167.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,167,167,167.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,167.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0,1,0,167,0
10.194.17.1,10.140.35.74,53,24715,e0:28:61:42:87:94,d0:88:0c:73:88:a2,17,2023-02-17 15:23:20,0.0,0,0,0,0,1,0,133,0,133.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,133,133,133.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,133.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0,1,0,133,0
10.140.35.74,35.186.224.41,63812,443,d0:88:0c:73:88:a2,00:00:5e:00:01:17,6,2023-02-17 15:22:11,113958492.04063416,4.826318689825122,0.061425874234137916,0.061425874234137916,0.0,7,0,550,0,97.0,54.0,78.57142857142857,21.279481350131924,0.0,0.0,0.0,0.0,97,54,78.57142857142857,21.279481350131924,452.81632653061234,140,0,20,4,18993082.006772358,37974179.98313904,19145.965576171875,18971558.521127585,113958492.04063416,37974179.98313904,19145.965576171875,18993082.006772358,18971558.521127585,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,78.57142857142857,4096,0,0.0,0.0,0.0,0.0,37948392.86804199,25787.1150970459,18987089.99156952,18961302.876472473,0.0,0.0,0.0,0.0,0.0,0.0,78.57142857142857,0.0,0,7,0,550,0
